,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
0,"Swelling, mass, or lump in chest",7866,swelling mass or lump in chest,1
1,"Vaginal enterocele, congenital or acquired",6186,vaginal enterocele congenital or acquired,1
2,"Unspecified schizophrenia, unspecified",29590,unspecified schizophrenia unspecified,7
3,Intracerebral hemorrhage,431,intracerebral hemorrhage,1
4,Loss of weight,78321,loss of weight,1
5,"Malignant neoplasm of breast (female), unspecified",1749,malignant neoplasm of breast female unspecified,2
6,Unspecified disorder of intestine,5699,unspecified disorder of intestine,7
7,Shortness of breath,78605,shortness of breath,1
8,"Anemia, unspecified",2859,anemia unspecified,7
9,Coronary atherosclerosis of native coronary artery,41401,coronary atherosclerosis of native coronary artery,1
10,Other musculoskeletal symptoms referable to limbs,72989,other musculoskeletal symptoms referable to limbs,1
11,Obstructive chronic bronchitis with (acute) exacerbation,49121,obstructive chronic bronchitis with acute exacerbation,5
12,Acute respiratory failure,51881,acute respiratory failure,5
13,Closed fracture of unspecified part of femur,82100,closed fracture of unspecified part of femur,10
14,"Schizoaffective disorder, unspecified",29570,schizoaffective disorder unspecified,7
15,Observation for suspected cardiovascular disease,V717,observation for suspected cardiovascular disease,3
16,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",25082,diabetes with other specified manifestations type ii or unspecified type uncontrolled,6
17,Unspecified peritonitis,5679,unspecified peritonitis,7
18,Unspecified septicemia,0389,unspecified septicemia,7
19,Other and unspecified angina pectoris,4139,other and unspecified angina pectoris,7
20,Altered mental status,78097,altered mental status,1
21,Gross hematuria,59971,gross hematuria,1
22,Obstructive chronic bronchitis with acute bronchitis,49122,obstructive chronic bronchitis with acute bronchitis,5
23,Other abnormal blood chemistry,7906,other abnormal blood chemistry,1
24,"Cellulitis and abscess of leg, except foot",6826,cellulitis and abscess of leg except foot,1
25,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg",71536,osteoarthrosis localized not specified whether primary or secondary lower leg,9
