Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
305528,B003WP39N0,A1HTDH4UD75OQ2,James F. Rendek,0,0,5,1339372800,Atomic Fireballs,"If you like hot candy this is the best sugar free treat available. I like it even better than the ""dessert"" gums they have out now. It's just like the Atomic Fireball jawbreakers of my youth without the obesity and tooth decay on the side."
251923,B005DGIDQO,A38MXL0CQMZM3V,karmsmom,0,0,5,1342569600,woof!,"my dogs love these! One of my dogs is allergic to corn, so these are perfect for him, plus they devoured them!!"
388181,B001PNXO5Y,A3AH2L0XNWANV9,"Nicholas Pinto ""Nick""",2,3,5,1264291200,Better than anything in any retail store,"Real ingredients with a reasonable amount of sodium, but most important is the taste.  The taste is excellent.  No more hours making stock and then canning or freezing it.  This product has made my cooking and my life easier."
258598,B007QTQ95I,A1PVJICI412IN4,Peter Ian Staker,0,0,4,1344211200,"very salty, but good otherwise","im pleased with the flavor and texture, but i definitely need to have water handy while eating. folks aint joking about the saltiness. the ingredients are pretty simple; that might be why they taste so salty, no fructose sweetner used, and perhaps without the salt it would taste funky."
471607,B000OCQ6DY,A3TKV9IEP6AGDP,Roy,0,0,5,1329955200,Good Stuff,I've been purchasing this for several years and both my dogs still enjoy it.. My German Shepherd has a sensitive digestive system and since I've been feeding him this I rarely come home to an unpleasant scene.
486539,B000QSQSHU,A6MCGGRCW1PAM,Snapshot Sally,1,1,4,1344211200,Rectified digestive issues,"I adopted a 6-ish month puppy last month from a local shelter. He had loose bowels for a month and no amount of antibiotics and veterinarian prescribed food helped.<br /><br />Pupster had been on a high-quality puppy food that included the color blue and wilderness. I love that food. However, I began to wonder if he had a sensitivity to beef and chicken, as well as high percentages of protein...<br /><br />Within one meal of eating this product, his stools were improved. Within two meals, I could pick up his stools, rather than wipe them off the ground. I never thought I would be so happy to pick up poop!<br /><br />I definitely recommend for anyone who thinks their dog may have a food allergy. It is also good for a puppy that needs a lower protein food."
449848,B001E5DR5K,A3UKPQFMSF3WPD,J. Heathershaw,4,4,4,1270944000,Dippin',I bought this product just to try and now I'm hooked.  Olive oil a little balsamic vinegar and your choice of 4 seasoning mixes. This is a great buy in the 3 pack. I also use them in cooking.
31064,B007M83302,A1FKWEOT07D3CD,M. Hurne,0,0,4,1266969600,My wife and I love these!,"My wife loves these, and we can't wait for them to go on sale again.  Recommended!"
225349,B000F6UMHU,A3L7Y8G4LETMRU,Samantha Hulkower,1,1,2,1189209600,Not worth it,Try the spirulina nut balls. These are too artificial testing. Only eat them if I have no other food in the house.
328753,B001FA1LHA,A1285WENLZXDOR,AaronR,2,2,1,1243468800,Not what you get in the store!,"Be advised, the store bought Crystal Light has 6 tubs in each can.  These only have 4 tubs in each can.  I frequently see the 6 tub cans at Kroger for $3.99.  Instead of saving money, these are actually way more expensive.  Each tub costs about 67 cents at Kroger.  These cost about 83 cents each."
558118,B007JT7AIA,A2TBAUW2W7J538,"Matthew Brown ""mbrown3""",0,0,4,1347926400,"Smells nice, seems to work well","As far as shampoo-and-conditioners-in-one products, this is a good one. It has a nice smell, a nice consistency, and it seems to work well...though it should be said that I don't really have issues with dandruff in the first place, just a bit of dry scalp from time to time. I do prefer the individual products (shampoo and conditioner), though, to the all-in-ones...hence the 4 star rating. If you like them combined, this product is great."
224592,B006TQUZ1S,AYQQOW0VR0YF5,"Hazel Watson ""bqmother""",0,1,3,1331769600,"Good quality, but very expensive","This is good, but I've found that it's much cheaper to purchase from companies that offer larger quantities.  That's why I gave it only 3 stars.<br /><br />Keep checking Amazon's listings for a 2.25 lb container if you use it a lot.  I don't eat gluten, and do use quite a bit of egg white powder (aka powdered egg whites) in baking and cooking.  Practically all the baking recipes call for powdered egg whites and some in addition to whole eggs as well!  Plus you can use it in icings and other things."
520472,B007TJGZ18,A1GXD85NLXERWE,"S. Allen ""extreme online shopper""",0,0,2,1318550400,Strongest k-cup I have tried,"This coffee is so strong, I found it bitter.  I even tried diluting it by brewing larger sizes, but I still found it bitter. If you are tempted to try it, I would advise purchasing a sample pack first."
111450,B008FHUQJA,A3FDF44ESPF7H4,"J. A. Huestis ""cat lover""",0,0,5,1334102400,Tully's Coffee French Roast K-Cup for Kuerig,This is one of my husband's favorite's.I found it to be less expensive than at GMCR so got it here at Amazon.It shipped quickly and I was very pleased with the order.I will be ordering more soon! Thanks
308589,B000G7YO2M,AEO6QAIYMNOH8,Marlene,0,0,5,1162684800,Great biscotti,"I was looking for a crispy crunchy, not too sweet, flavorful biscotti.  This prduct certainlyn fills the bill."
